Well,Chl:630,Chl:663,Chl:750
A1,0.168,0.241,0.13
B1,0.147,0.2,0.114
C1,0.294,0.416,0.221
D1,0.345,0.344,0.299
E1,0.138,0.154,0.124
F1,0.292,0.363,0.224
G1,0.263,0.273,0.212
H1,0.19,0.285,0.138
A2,0.28,0.352,0.219
B2,0.203,0.259,0.16
C2,0.233,0.368,0.166
D2,0.121,0.13,0.109
E2,0.217,0.227,0.185
F2,0.28,0.356,0.212
G2,0.144,0.163,0.117
H2,0.281,0.382,0.218
A3,0.272,0.353,0.21
B3,0.165,0.235,0.127
C3,0.279,0.395,0.206
D3,0.409,0.409,0.351
E3,0.234,0.241,0.197
F3,0.268,0.341,0.218
G3,0.235,0.247,0.196
H3,0.175,0.273,0.131
A4,0.351,0.434,0.273
B4,0.278,0.348,0.223
C4,0.355,0.476,0.269
D4,0.299,0.305,0.264
E4,0.18,0.193,0.155
F4,0.204,0.285,0.156
G4,0.205,0.218,0.172
H4,0.232,0.328,0.176
A5,0.169,0.246,0.128
B5,0.136,0.191,0.105
C5,0.272,0.383,0.198
D5,0.136,0.143,0.116
E5,0.165,0.174,0.138
F5,0.167,0.252,0.122
G5,0.153,0.169,0.132
H5,0.451,0.577,0.366
A6,0.338,0.409,0.266
B6,0.171,0.226,0.13
C6,0.221,0.337,0.159
D6,0.231,0.237,0.196
E6,0.251,0.261,0.215
F6,0.318,0.401,0.249
G6,0.188,0.204,0.161
H6,0.322,0.464,0.253
A7,0.205,0.261,0.16
B7,0.155,0.24,0.109
C7,0.267,0.288,0.211
D7,0.246,0.339,0.186
E7,0.278,0.319,0.237
F7,0.189,0.239,0.147
G7,0.161,0.207,0.129
H7,0.194,0.291,0.137
A8,0.216,0.274,0.167
B8,0.157,0.244,0.112
C8,0.335,0.355,0.267
D8,0.244,0.342,0.186
E8,0.282,0.324,0.239
F8,0.117,0.173,0.084
G8,0.247,0.292,0.2
H8,0.226,0.328,0.166
A9,0.13,0.198,0.094
B9,0.285,0.37,0.22
C9,0.12,0.153,0.099
D9,0.396,0.474,0.311
E9,0.206,0.235,0.171
F9,0.125,0.193,0.093
G9,0.106,0.156,0.081
H9,0.27,0.362,0.201
A10,0.384,0.441,0.309
B10,0.34,0.423,0.268
C10,0.118,0.151,0.096
D10,0.343,0.429,0.268
E10,0.212,0.247,0.179
F10,0.179,0.25,0.134
G10,0.159,0.21,0.123
H10,0.307,0.409,0.237
A11,0.281,0.339,0.22
B11,0.359,0.432,0.281
C11,0.355,0.377,0.292
D11,0.441,0.512,0.342
E11,0.275,0.301,0.229
F11,0.142,0.195,0.112
G11,0.102,0.151,0.075
H11,0.133,0.224,0.086
A12,0.258,0.319,0.201
B12,0.174,0.255,0.128
C12,0.113,0.147,0.091
D12,0.42,0.503,0.334
E12,0.193,0.224,0.152
F12,0.151,0.204,0.118
G12,0.11,0.161,0.082
H12,0.128,0.228,0.077
