Well,Chl:630,Chl:663,Chl:750
A1,0.094,0.119,0.077
B1,0.263,0.31,0.217
C1,0.171,0.212,0.144
D1,0.111,0.139,0.092
E1,0.15,0.191,0.123
F1,0.176,0.232,0.139
G1,0.115,0.193,0.082
H1,0.125,0.194,0.092
A2,0.255,0.273,0.216
B2,0.2,0.245,0.161
C2,0.197,0.233,0.167
D2,0.104,0.13,0.085
E2,0.103,0.146,0.08
F2,0.183,0.241,0.149
G2,0.13,0.212,0.093
H2,0.151,0.225,0.115
A3,0.135,0.16,0.114
B3,0.133,0.178,0.104
C3,0.114,0.152,0.092
D3,0.103,0.13,0.086
E3,0.132,0.174,0.106
F3,0.138,0.199,0.103
G3,0.129,0.214,0.091
H3,0.17,0.241,0.133
A4,0.196,0.219,0.166
B4,0.225,0.265,0.18
C4,0.299,0.331,0.255
D4,0.103,0.131,0.083
E4,0.152,0.193,0.123
F4,0.111,0.172,0.081
G4,0.14,0.231,0.102
H4,0.16,0.236,0.124
A5,0.123,0.148,0.105
B5,0.148,0.198,0.117
C5,0.163,0.202,0.137
D5,0.071,0.103,0.056
E5,0.109,0.15,0.085
F5,0.126,0.18,0.094
G5,0.122,0.204,0.088
H5,0.152,0.218,0.121
A6,0.147,0.17,0.124
B6,0.25,0.296,0.209
C6,0.259,0.289,0.218
D6,0.065,0.097,0.051
E6,0.221,0.257,0.177
F6,0.143,0.202,0.111
G6,0.133,0.219,0.097
H6,0.176,0.242,0.143
A7,0.174,0.235,0.139
B7,0.236,0.276,0.188
C7,0.188,0.224,0.157
D7,0.14,0.231,0.1
E7,0.201,0.203,0.184
F7,0.164,0.176,0.141
G7,0.121,0.187,0.089
H7,0.136,0.171,0.117
A8,0.143,0.202,0.109
B8,0.113,0.16,0.085
C8,0.232,0.267,0.197
D8,0.336,0.428,0.269
E8,0.329,0.325,0.286
F8,0.202,0.211,0.176
G8,0.141,0.212,0.104
H8,0.156,0.191,0.135
A9,0.172,0.23,0.136
B9,0.157,0.203,0.124
C9,0.241,0.28,0.206
D9,0.163,0.256,0.114
E9,0.231,0.23,0.207
F9,0.148,0.151,0.131
G9,0.118,0.186,0.086
H9,0.06,0.083,0.047
A10,0.166,0.223,0.13
B10,0.248,0.289,0.201
C10,0.275,0.312,0.23
D10,0.295,0.389,0.233
E10,0.389,0.379,0.337
F10,0.165,0.167,0.143
G10,0.129,0.203,0.095
H10,0.063,0.092,0.053
A11,0.172,0.223,0.136
B11,0.142,0.193,0.112
C11,0.168,0.205,0.138
D11,0.199,0.296,0.146
E11,0.188,0.194,0.169
F11,0.122,0.128,0.108
G11,0.152,0.222,0.119
H11,0.162,0.2,0.139
A12,0.278,0.327,0.231
B12,0.15,0.2,0.118
C12,0.172,0.209,0.14
D12,0.201,0.303,0.147
E12,0.292,0.286,0.258
F12,0.122,0.127,0.107
G12,0.264,0.335,0.212
H12,0.205,0.243,0.176
