Well,Chl:630,Chl:663,Chl:750
A1,0.107,0.11,0.094
B1,0.06,0.06,0.059
C1,0.052,0.052,0.052
D1,0.036,0.035,0.035
E1,0.038,0.038,0.037
F1,0.057,0.057,0.056
G1,0.036,0.036,0.036
H1,0.035,0.035,0.035
A2,0.088,0.09,0.075
B2,0.045,0.044,0.044
C2,0.043,0.043,0.043
D2,0.039,0.039,0.039
E2,0.033,0.033,0.033
F2,0.035,0.035,0.035
G2,0.036,0.036,0.036
H2,0.036,0.036,0.036
A3,0.073,0.078,0.062
B3,0.044,0.044,0.044
C3,0.035,0.035,0.035
D3,0.04,0.04,0.039
E3,0.04,0.04,0.04
F3,0.045,0.044,0.044
G3,0.031,0.031,0.031
H3,0.038,0.038,0.038
A4,0.138,0.161,0.113
B4,0.05,0.049,0.049
C4,0.036,0.036,0.036
D4,0.057,0.056,0.055
E4,0.041,0.042,0.042
F4,0.041,0.041,0.041
G4,0.037,0.037,0.037
H4,0.033,0.033,0.033
A5,0.122,0.142,0.098
B5,0.067,0.067,0.066
C5,0.042,0.041,0.04
D5,0.079,0.078,0.076
E5,0.032,0.032,0.032
F5,0.051,0.051,0.05
G5,0.039,0.037,0.036
H5,0.032,0.032,0.032
A6,0.113,0.136,0.09
B6,0.038,0.037,0.037
C6,0.092,0.091,0.089
D6,0.043,0.04,0.038
E6,0.091,0.086,0.081
F6,0.032,0.032,0.032
G6,0.034,0.038,0.036
H6,0.03,0.03,0.03
A7,0.081,0.101,0.067
B7,0.036,0.036,0.035
C7,0.074,0.073,0.072
D7,0.032,0.032,0.033
E7,0.047,0.045,0.044
F7,0.039,0.039,0.04
G7,0.043,0.044,0.048
H7,0.032,0.032,0.032
A8,0.084,0.105,0.071
B8,0.037,0.037,0.037
C8,0.041,0.04,0.039
D8,0.07,0.069,0.067
E8,0.036,0.036,0.035
F8,0.044,0.043,0.043
G8,0.032,0.032,0.032
H8,0.034,0.034,0.034
A9,0.086,0.108,0.072
B9,0.051,0.049,0.05
C9,0.043,0.042,0.042
D9,0.067,0.067,0.066
E9,0.034,0.034,0.034
F9,0.039,0.039,0.038
G9,0.029,0.029,0.029
H9,0.032,0.033,0.032
A10,0.134,0.145,0.104
B10,0.03,0.03,0.03
C10,0.036,0.036,0.036
D10,0.037,0.036,0.036
E10,0.04,0.038,0.037
F10,0.041,0.042,0.04
G10,0.031,0.031,0.032
H10,0.046,0.046,0.045
A11,0.135,0.151,0.11
B11,0.036,0.036,0.036
C11,0.051,0.05,0.05
D11,0.035,0.035,0.035
E11,0.048,0.048,0.047
F11,0.042,0.042,0.041
G11,0.032,0.032,0.032
H11,0.035,0.035,0.035
A12,0.157,0.162,0.124
B12,0.04,0.04,0.039
C12,0.041,0.041,0.04
D12,0.047,0.047,0.046
E12,0.035,0.035,0.035
F12,0.033,0.033,0.033
G12,0.05,0.05,0.049
H12,0.044,0.044,0.043
