Well,562
A1,2.128
B1,0.796
C1,0.08
D1,1.057
E1,0.857
F1,0.706
G1,0.857
H1,0.645
A2,2.226
B2,0.766
C2,0.079
D2,1.085
E2,0.827
F2,0.777
G2,0.894
H2,0.725
A3,1.993
B3,0.767
C3,0.079
D3,1.142
E3,0.833
F3,0.749
G3,0.918
H3,0.662
A4,1.936
B4,0.447
C4,0.926
D4,0.971
E4,0.852
F4,0.753
G4,0.86
H4,1.011
A5,1.885
B5,0.461
C5,0.773
D5,0.945
E5,0.901
F5,0.703
G5,0.977
H5,0.959
A6,1.834
B6,0.463
C6,0.851
D6,0.928
E6,0.938
F6,0.774
G6,0.977
H6,0.918
A7,1.351
B7,0.28
C7,0.899
D7,0.825
E7,0.957
F7,0.78
G7,0.734
H7,1.005
A8,1.308
B8,0.292
C8,0.944
D8,0.866
E8,1.07
F8,0.774
G8,0.743
H8,1.198
A9,1.297
B9,0.292
C9,0.899
D9,0.812
E9,0.888
F9,0.746
G9,0.669
H9,1.183
A10,1.083
B10,0.115
C10,0.812
D10,0.818
E10,0.839
F10,0.844
G10,0.697
H10,0.993
A11,1.081
B11,0.116
C11,0.918
D11,0.851
E11,0.891
F11,0.874
G11,0.747
H11,1.034
A12,1.093
B12,0.115
C12,0.758
D12,0.88
E12,0.909
F12,0.904
G12,0.673
H12,1.047
