Date,Time,Temp
05-Jul-17,14:45:00,29.34
05-Jul-17,15:15:00,29.665
05-Jul-17,15:45:00,29.941
05-Jul-17,16:15:00,30.167
05-Jul-17,16:45:00,30.016
05-Jul-17,17:15:00,30.117
05-Jul-17,17:45:00,29.966
05-Jul-17,18:15:00,29.89
05-Jul-17,18:45:00,30.016
05-Jul-17,19:15:00,29.815
05-Jul-17,19:45:00,29.59
05-Jul-17,20:15:00,29.365
05-Jul-17,20:45:00,29.19
05-Jul-17,21:15:00,29.04
05-Jul-17,21:45:00,28.891
05-Jul-17,22:15:00,28.866
05-Jul-17,22:45:00,28.841
05-Jul-17,23:15:00,28.866
05-Jul-17,23:45:00,28.866
06-Jul-17,0:15:00,28.866
06-Jul-17,0:45:00,28.841
06-Jul-17,1:15:00,28.841
06-Jul-17,1:45:00,28.841
06-Jul-17,2:15:00,28.841
06-Jul-17,2:45:00,28.841
06-Jul-17,3:15:00,28.841
06-Jul-17,3:45:00,28.816
06-Jul-17,4:15:00,28.791
06-Jul-17,4:45:00,28.742
06-Jul-17,5:15:00,28.692
06-Jul-17,5:45:00,28.692
06-Jul-17,6:15:00,28.692
06-Jul-17,6:45:00,28.692
06-Jul-17,7:15:00,28.717
06-Jul-17,7:45:00,28.692
06-Jul-17,8:15:00,28.692
06-Jul-17,8:45:00,28.766
06-Jul-17,9:15:00,28.866
06-Jul-17,9:45:00,28.965
06-Jul-17,10:15:00,29.115
06-Jul-17,10:45:00,29.365
06-Jul-17,11:15:00,29.79
06-Jul-17,11:45:00,29.615
06-Jul-17,12:15:00,29.365
06-Jul-17,12:45:00,29.69
06-Jul-17,13:15:00,29.865
06-Jul-17,13:45:00,30.066
06-Jul-17,14:15:00,30.167
06-Jul-17,14:45:00,29.966
06-Jul-17,15:15:00,29.916
06-Jul-17,15:45:00,29.815
06-Jul-17,16:15:00,29.665
06-Jul-17,16:45:00,29.54
06-Jul-17,17:15:00,29.515
06-Jul-17,17:45:00,29.64
06-Jul-17,18:15:00,29.665
06-Jul-17,18:45:00,29.715
06-Jul-17,19:15:00,29.665
06-Jul-17,19:45:00,29.565
06-Jul-17,20:15:00,29.515
06-Jul-17,20:45:00,29.464
06-Jul-17,21:15:00,29.414
06-Jul-17,21:45:00,29.315
06-Jul-17,22:15:00,29.265
06-Jul-17,22:45:00,29.215
06-Jul-17,23:15:00,29.14
06-Jul-17,23:45:00,29.09
