Date,Time,Temp
05-Jul-17,14:45:00,29.215
05-Jul-17,15:15:00,29.515
05-Jul-17,15:45:00,29.815
05-Jul-17,16:15:00,30.016
05-Jul-17,16:45:00,29.916
05-Jul-17,17:15:00,29.966
05-Jul-17,17:45:00,29.865
05-Jul-17,18:15:00,29.79
05-Jul-17,18:45:00,29.89
05-Jul-17,19:15:00,29.74
05-Jul-17,19:45:00,29.515
05-Jul-17,20:15:00,29.29
05-Jul-17,20:45:00,29.14
05-Jul-17,21:15:00,28.965
05-Jul-17,21:45:00,28.841
05-Jul-17,22:15:00,28.791
05-Jul-17,22:45:00,28.766
05-Jul-17,23:15:00,28.791
05-Jul-17,23:45:00,28.791
06-Jul-17,0:15:00,28.791
06-Jul-17,0:45:00,28.791
06-Jul-17,1:15:00,28.766
06-Jul-17,1:45:00,28.791
06-Jul-17,2:15:00,28.791
06-Jul-17,2:45:00,28.766
06-Jul-17,3:15:00,28.766
06-Jul-17,3:45:00,28.766
06-Jul-17,4:15:00,28.742
06-Jul-17,4:45:00,28.667
06-Jul-17,5:15:00,28.642
06-Jul-17,5:45:00,28.617
06-Jul-17,6:15:00,28.617
06-Jul-17,6:45:00,28.617
06-Jul-17,7:15:00,28.617
06-Jul-17,7:45:00,28.617
06-Jul-17,8:15:00,28.617
06-Jul-17,8:45:00,28.667
06-Jul-17,9:15:00,28.766
06-Jul-17,9:45:00,28.891
06-Jul-17,10:15:00,29.065
06-Jul-17,10:45:00,29.265
06-Jul-17,11:15:00,29.54
06-Jul-17,11:45:00,29.54
06-Jul-17,12:15:00,29.265
06-Jul-17,12:45:00,29.49
06-Jul-17,13:15:00,29.765
06-Jul-17,13:45:00,29.941
06-Jul-17,14:15:00,30.091
06-Jul-17,14:45:00,29.89
06-Jul-17,15:15:00,29.815
06-Jul-17,15:45:00,29.74
06-Jul-17,16:15:00,29.615
06-Jul-17,16:45:00,29.464
06-Jul-17,17:15:00,29.439
06-Jul-17,17:45:00,29.565
06-Jul-17,18:15:00,29.59
06-Jul-17,18:45:00,29.665
06-Jul-17,19:15:00,29.615
06-Jul-17,19:45:00,29.54
06-Jul-17,20:15:00,29.49
06-Jul-17,20:45:00,29.414
06-Jul-17,21:15:00,29.365
06-Jul-17,21:45:00,29.29
06-Jul-17,22:15:00,29.215
06-Jul-17,22:45:00,29.165
06-Jul-17,23:15:00,29.115
06-Jul-17,23:45:00,29.04
07-Jul-17,0:15:00,28.965
07-Jul-17,0:45:00,28.965
07-Jul-17,1:15:00,28.916
07-Jul-17,1:45:00,28.916
07-Jul-17,2:15:00,28.891
07-Jul-17,2:45:00,28.891
07-Jul-17,3:15:00,28.891
07-Jul-17,3:45:00,28.916
07-Jul-17,4:15:00,28.841
07-Jul-17,4:45:00,28.841
07-Jul-17,5:15:00,28.841
07-Jul-17,5:45:00,28.841
07-Jul-17,6:15:00,28.816
07-Jul-17,6:45:00,28.841
07-Jul-17,7:15:00,28.816
07-Jul-17,7:45:00,28.717
07-Jul-17,8:15:00,28.667
07-Jul-17,8:45:00,28.642
07-Jul-17,9:15:00,28.642
07-Jul-17,9:45:00,28.717
07-Jul-17,10:15:00,28.916
07-Jul-17,10:45:00,28.99
07-Jul-17,11:15:00,29.015
07-Jul-17,11:45:00,29.065
07-Jul-17,12:15:00,29.015
07-Jul-17,12:45:00,28.941
07-Jul-17,13:15:00,28.916
07-Jul-17,13:45:00,29.115
07-Jul-17,14:15:00,29.615
07-Jul-17,14:45:00,29.941
07-Jul-17,15:15:00,30.293
07-Jul-17,15:45:00,29.365
07-Jul-17,16:15:00,29.04
07-Jul-17,16:45:00,29.09
07-Jul-17,17:15:00,29.115
07-Jul-17,17:45:00,29.14
07-Jul-17,18:15:00,29.14
07-Jul-17,18:45:00,28.99
07-Jul-17,19:15:00,28.642
07-Jul-17,19:45:00,28.617
07-Jul-17,20:15:00,28.642
07-Jul-17,20:45:00,28.617
07-Jul-17,21:15:00,28.568
07-Jul-17,21:45:00,28.543
07-Jul-17,22:15:00,28.543
07-Jul-17,22:45:00,28.593
07-Jul-17,23:15:00,28.642
07-Jul-17,23:45:00,28.692
08-Jul-17,0:15:00,28.717
08-Jul-17,0:45:00,28.742
08-Jul-17,1:15:00,28.766
08-Jul-17,1:45:00,28.791
08-Jul-17,2:15:00,28.816
08-Jul-17,2:45:00,28.816
08-Jul-17,3:15:00,28.841
08-Jul-17,3:45:00,28.866
08-Jul-17,4:15:00,28.916
08-Jul-17,4:45:00,28.965
08-Jul-17,5:15:00,29.015
08-Jul-17,5:45:00,29.04
08-Jul-17,6:15:00,29.09
08-Jul-17,6:45:00,29.165
08-Jul-17,7:15:00,29.215
08-Jul-17,7:45:00,29.315
08-Jul-17,8:15:00,29.315
08-Jul-17,8:45:00,29.265
08-Jul-17,9:15:00,29.34
08-Jul-17,9:45:00,29.515
08-Jul-17,10:15:00,29.69
08-Jul-17,10:45:00,30.016
08-Jul-17,11:15:00,30.192
08-Jul-17,11:45:00,30.369
08-Jul-17,12:15:00,30.52
08-Jul-17,12:45:00,30.798
08-Jul-17,13:15:00,31.052
08-Jul-17,13:45:00,31.331
08-Jul-17,14:15:00,31.535
08-Jul-17,14:45:00,31.74
08-Jul-17,15:15:00,31.919
08-Jul-17,15:45:00,32.047
08-Jul-17,16:15:00,32.304
08-Jul-17,16:45:00,32.124
08-Jul-17,17:15:00,32.124
08-Jul-17,17:45:00,32.098
08-Jul-17,18:15:00,32.073
08-Jul-17,18:45:00,31.893
08-Jul-17,19:15:00,31.484
08-Jul-17,19:45:00,31.128
08-Jul-17,20:15:00,30.824
08-Jul-17,20:45:00,30.672
08-Jul-17,21:15:00,30.444
08-Jul-17,21:45:00,30.243
08-Jul-17,22:15:00,30.041
08-Jul-17,22:45:00,29.84
08-Jul-17,23:15:00,29.665
08-Jul-17,23:45:00,29.515
09-Jul-17,0:15:00,29.365
09-Jul-17,0:45:00,29.19
09-Jul-17,1:15:00,29.115
09-Jul-17,1:45:00,29.04
09-Jul-17,2:15:00,28.965
09-Jul-17,2:45:00,28.891
09-Jul-17,3:15:00,28.841
09-Jul-17,3:45:00,28.791
09-Jul-17,4:15:00,28.742
09-Jul-17,4:45:00,28.667
09-Jul-17,5:15:00,28.617
09-Jul-17,5:45:00,28.568
09-Jul-17,6:15:00,28.493
09-Jul-17,6:45:00,28.419
09-Jul-17,7:15:00,28.394
09-Jul-17,7:45:00,28.419
09-Jul-17,8:15:00,28.468
09-Jul-17,8:45:00,28.468
09-Jul-17,9:15:00,28.493
09-Jul-17,9:45:00,28.543
09-Jul-17,10:15:00,28.791
09-Jul-17,10:45:00,29.29
09-Jul-17,11:15:00,29.615
09-Jul-17,11:45:00,29.916
09-Jul-17,12:15:00,30.243
09-Jul-17,12:45:00,30.672
09-Jul-17,13:15:00,31.153
09-Jul-17,13:45:00,31.637
09-Jul-17,14:15:00,32.047
09-Jul-17,14:45:00,32.433
09-Jul-17,15:15:00,32.691
09-Jul-17,15:45:00,32.898
09-Jul-17,16:15:00,33.105
09-Jul-17,16:45:00,33.209
09-Jul-17,17:15:00,33.157
09-Jul-17,17:45:00,33.079
09-Jul-17,18:15:00,32.949
09-Jul-17,18:45:00,32.794
09-Jul-17,19:15:00,31.996
09-Jul-17,19:45:00,31.306
09-Jul-17,20:15:00,30.849
09-Jul-17,20:45:00,30.495
09-Jul-17,21:15:00,30.243
09-Jul-17,21:45:00,30.066
09-Jul-17,22:15:00,29.941
09-Jul-17,22:45:00,29.84
09-Jul-17,23:15:00,29.765
09-Jul-17,23:45:00,29.715
10-Jul-17,0:15:00,29.665
10-Jul-17,0:45:00,29.615
10-Jul-17,1:15:00,29.59
10-Jul-17,1:45:00,29.54
10-Jul-17,2:15:00,29.515
10-Jul-17,2:45:00,29.49
10-Jul-17,3:15:00,29.464
10-Jul-17,3:45:00,29.414
10-Jul-17,4:15:00,29.389
10-Jul-17,4:45:00,29.365
10-Jul-17,5:15:00,29.34
10-Jul-17,5:45:00,29.315
10-Jul-17,6:15:00,29.265
10-Jul-17,6:45:00,29.24
10-Jul-17,7:15:00,29.24
10-Jul-17,7:45:00,29.24
10-Jul-17,8:15:00,29.215
10-Jul-17,8:45:00,29.24
10-Jul-17,9:15:00,29.265
10-Jul-17,9:45:00,29.315
10-Jul-17,10:15:00,29.464
10-Jul-17,10:45:00,29.815
10-Jul-17,11:15:00,30.041
10-Jul-17,11:45:00,30.243
10-Jul-17,12:15:00,30.394
10-Jul-17,12:45:00,30.621
10-Jul-17,13:15:00,30.798
10-Jul-17,13:45:00,31.001
10-Jul-17,14:15:00,31.077
10-Jul-17,14:45:00,31.331
10-Jul-17,15:15:00,31.433
10-Jul-17,15:45:00,31.586
10-Jul-17,16:15:00,31.663
10-Jul-17,16:45:00,32.021
10-Jul-17,17:15:00,32.175
10-Jul-17,17:45:00,32.458
10-Jul-17,18:15:00,32.227
10-Jul-17,18:45:00,31.944
10-Jul-17,19:15:00,31.689
10-Jul-17,19:45:00,31.433
10-Jul-17,20:15:00,31.255
10-Jul-17,20:45:00,31.128
10-Jul-17,21:15:00,31.001
10-Jul-17,21:45:00,30.874
10-Jul-17,22:15:00,30.798
10-Jul-17,22:45:00,30.722
10-Jul-17,23:15:00,30.621
10-Jul-17,23:45:00,30.596
11-Jul-17,0:15:00,30.52
11-Jul-17,0:45:00,30.52
11-Jul-17,1:15:00,30.444
11-Jul-17,1:45:00,30.419
11-Jul-17,2:15:00,30.369
11-Jul-17,2:45:00,30.343
11-Jul-17,3:15:00,30.343
11-Jul-17,3:45:00,30.343
11-Jul-17,4:15:00,30.318
11-Jul-17,4:45:00,30.318
11-Jul-17,5:15:00,30.268
11-Jul-17,5:45:00,30.243
11-Jul-17,6:15:00,30.192
11-Jul-17,6:45:00,30.167
11-Jul-17,7:15:00,30.117
11-Jul-17,7:45:00,30.167
11-Jul-17,8:15:00,30.167
11-Jul-17,8:45:00,30.192
11-Jul-17,9:15:00,30.243
11-Jul-17,9:45:00,30.268
11-Jul-17,10:15:00,30.394
11-Jul-17,10:45:00,30.773
11-Jul-17,11:15:00,31.001
11-Jul-17,11:45:00,31.23
11-Jul-17,12:15:00,31.484
11-Jul-17,12:45:00,31.74
11-Jul-17,13:15:00,31.996
11-Jul-17,13:45:00,32.227
11-Jul-17,14:15:00,32.484
11-Jul-17,14:45:00,32.665
11-Jul-17,15:15:00,32.794
11-Jul-17,15:45:00,32.949
11-Jul-17,16:15:00,33.079
11-Jul-17,16:45:00,32.898
11-Jul-17,17:15:00,32.717
11-Jul-17,17:45:00,32.613
11-Jul-17,18:15:00,32.536
