Date,Time,Temp
26-Jun-17,19:40:00,28.593
26-Jun-17,19:45:00,28.617
26-Jun-17,19:50:00,28.617
26-Jun-17,19:55:00,28.617
26-Jun-17,20:00:00,28.617
26-Jun-17,20:05:00,28.617
26-Jun-17,20:10:00,28.617
26-Jun-17,20:15:00,28.617
26-Jun-17,20:20:00,28.617
26-Jun-17,20:25:00,28.593
26-Jun-17,20:30:00,28.593
26-Jun-17,20:35:00,28.593
26-Jun-17,20:40:00,28.593
26-Jun-17,20:45:00,28.593
26-Jun-17,20:50:00,28.593
26-Jun-17,20:55:00,28.617
26-Jun-17,21:00:00,28.617
26-Jun-17,21:05:00,28.593
26-Jun-17,21:10:00,28.593
26-Jun-17,21:15:00,28.593
26-Jun-17,21:20:00,28.593
26-Jun-17,21:25:00,28.593
26-Jun-17,21:30:00,28.593
26-Jun-17,21:35:00,28.593
26-Jun-17,21:40:00,28.593
26-Jun-17,21:45:00,28.593
26-Jun-17,21:50:00,28.593
26-Jun-17,21:55:00,28.568
26-Jun-17,22:00:00,28.568
26-Jun-17,22:05:00,28.568
26-Jun-17,22:10:00,28.568
26-Jun-17,22:15:00,28.568
26-Jun-17,22:20:00,28.568
26-Jun-17,22:25:00,28.568
26-Jun-17,22:30:00,28.543
26-Jun-17,22:35:00,28.543
26-Jun-17,22:40:00,28.543
26-Jun-17,22:45:00,28.543
26-Jun-17,22:50:00,28.518
26-Jun-17,22:55:00,28.518
26-Jun-17,23:00:00,28.493
26-Jun-17,23:05:00,28.493
26-Jun-17,23:10:00,28.493
26-Jun-17,23:15:00,28.468
26-Jun-17,23:20:00,28.468
26-Jun-17,23:25:00,28.468
26-Jun-17,23:30:00,28.468
26-Jun-17,23:35:00,28.444
26-Jun-17,23:40:00,28.444
26-Jun-17,23:45:00,28.444
26-Jun-17,23:50:00,28.444
26-Jun-17,23:55:00,28.419
27-Jun-17,0:00:00,28.419
27-Jun-17,0:05:00,28.419
27-Jun-17,0:10:00,28.419
27-Jun-17,0:15:00,28.419
27-Jun-17,0:20:00,28.419
27-Jun-17,0:25:00,28.419
27-Jun-17,0:30:00,28.419
