Tank,Date,Time,Temp
1,15-Jul-17,11:30:00,29.29
1,15-Jul-17,12:00:00,29.34
1,15-Jul-17,12:30:00,29.439
1,15-Jul-17,13:00:00,29.565
1,15-Jul-17,13:30:00,30.142
1,15-Jul-17,14:00:00,30.293
1,15-Jul-17,14:30:00,30.343
1,15-Jul-17,15:00:00,30.469
1,15-Jul-17,15:30:00,30.52
1,15-Jul-17,16:00:00,30.571
1,15-Jul-17,16:30:00,30.571
1,15-Jul-17,17:00:00,30.52
1,15-Jul-17,17:30:00,30.444
1,15-Jul-17,18:00:00,30.192
1,15-Jul-17,18:30:00,29.966
1,15-Jul-17,19:00:00,29.865
1,15-Jul-17,19:30:00,29.59
1,15-Jul-17,20:00:00,29.59
1,15-Jul-17,20:30:00,29.615
1,15-Jul-17,21:00:00,29.64
1,15-Jul-17,21:30:00,29.615
1,15-Jul-17,22:00:00,29.615
1,15-Jul-17,22:30:00,29.64
1,15-Jul-17,23:00:00,29.64
1,15-Jul-17,23:30:00,29.64
1,16-Jul-17,0:00:00,29.615
1,16-Jul-17,0:30:00,29.615
1,16-Jul-17,1:00:00,29.615
1,16-Jul-17,1:30:00,29.59
1,16-Jul-17,2:00:00,29.565
1,16-Jul-17,2:30:00,29.54
1,16-Jul-17,3:00:00,29.439
1,16-Jul-17,3:30:00,29.439
1,16-Jul-17,4:00:00,29.414
1,16-Jul-17,4:30:00,29.414
1,16-Jul-17,5:00:00,29.389
1,16-Jul-17,5:30:00,29.24
1,16-Jul-17,6:00:00,29.24
1,16-Jul-17,6:30:00,29.29
1,16-Jul-17,7:00:00,29.315
1,16-Jul-17,7:30:00,29.34
1,16-Jul-17,8:00:00,29.34
1,16-Jul-17,8:30:00,29.34
1,16-Jul-17,9:00:00,29.315
1,16-Jul-17,9:30:00,29.29
1,16-Jul-17,10:00:00,29.29
1,16-Jul-17,10:30:00,29.315
1,16-Jul-17,11:00:00,29.34
1,16-Jul-17,11:30:00,29.365
1,16-Jul-17,12:00:00,29.414
1,16-Jul-17,12:30:00,29.515
1,16-Jul-17,13:00:00,29.665
1,16-Jul-17,13:30:00,30.419
1,16-Jul-17,14:00:00,30.343
1,16-Jul-17,14:30:00,30.369
1,16-Jul-17,15:00:00,30.495
1,16-Jul-17,15:30:00,30.596
1,16-Jul-17,16:00:00,30.672
1,16-Jul-17,16:30:00,30.621
1,16-Jul-17,17:00:00,30.621
1,16-Jul-17,17:30:00,30.596
1,16-Jul-17,18:00:00,30.369
1,16-Jul-17,18:30:00,30.117
1,16-Jul-17,19:00:00,29.89
1,16-Jul-17,19:30:00,29.815
1,16-Jul-17,20:00:00,29.84
1,16-Jul-17,20:30:00,29.89
1,16-Jul-17,21:00:00,29.916
1,16-Jul-17,21:30:00,29.916
1,16-Jul-17,22:00:00,29.916
1,16-Jul-17,22:30:00,29.89
1,16-Jul-17,23:00:00,29.89
1,16-Jul-17,23:30:00,29.865
1,17-Jul-17,0:00:00,29.865
1,17-Jul-17,0:30:00,29.84
1,17-Jul-17,1:00:00,29.84
1,17-Jul-17,1:30:00,29.815
1,17-Jul-17,2:00:00,29.79
1,17-Jul-17,2:30:00,29.74
1,17-Jul-17,3:00:00,29.715
1,17-Jul-17,3:30:00,29.665
1,17-Jul-17,4:00:00,29.64
1,17-Jul-17,4:30:00,29.59
1,17-Jul-17,5:00:00,29.59
1,17-Jul-17,5:30:00,29.565
1,17-Jul-17,6:00:00,29.515
1,17-Jul-17,6:30:00,29.439
1,17-Jul-17,7:00:00,29.414
1,17-Jul-17,7:30:00,29.439
1,17-Jul-17,8:00:00,29.439
1,17-Jul-17,8:30:00,29.365
1,17-Jul-17,9:00:00,29.414
1,17-Jul-17,9:30:00,29.29
1,17-Jul-17,10:00:00,29.24
1,17-Jul-17,10:30:00,29.29
1,17-Jul-17,11:00:00,29.265
1,17-Jul-17,11:30:00,29.19
1,17-Jul-17,12:00:00,29.24
1,17-Jul-17,12:30:00,29.29
1,17-Jul-17,13:00:00,29.315
1,17-Jul-17,13:30:00,29.315
1,17-Jul-17,14:00:00,29.414
1,17-Jul-17,14:30:00,29.24
1,17-Jul-17,15:00:00,29.165
1,17-Jul-17,15:30:00,29.09
1,17-Jul-17,16:00:00,28.99
1,17-Jul-17,16:30:00,28.916
1,17-Jul-17,17:00:00,28.866
1,17-Jul-17,17:30:00,28.965
1,17-Jul-17,18:00:00,29.065
1,17-Jul-17,18:30:00,29.065
1,17-Jul-17,19:00:00,29.04
1,17-Jul-17,19:30:00,28.99
1,17-Jul-17,20:00:00,28.965
1,17-Jul-17,20:30:00,28.99
1,17-Jul-17,21:00:00,28.965
1,17-Jul-17,21:30:00,28.941
1,17-Jul-17,22:00:00,28.941
1,17-Jul-17,22:30:00,28.916
1,17-Jul-17,23:00:00,28.916
1,17-Jul-17,23:30:00,28.866
1,18-Jul-17,0:00:00,28.841
1,18-Jul-17,0:30:00,28.816
1,18-Jul-17,1:00:00,28.816
1,18-Jul-17,1:30:00,28.816
1,18-Jul-17,2:00:00,28.766
1,18-Jul-17,2:30:00,28.742
1,18-Jul-17,3:00:00,28.717
1,18-Jul-17,3:30:00,28.717
1,18-Jul-17,4:00:00,28.717
1,18-Jul-17,4:30:00,28.692
1,18-Jul-17,5:00:00,28.717
1,18-Jul-17,5:30:00,28.717
1,18-Jul-17,6:00:00,28.692
1,18-Jul-17,6:30:00,28.692
1,18-Jul-17,7:00:00,28.667
1,18-Jul-17,7:30:00,28.345
1,18-Jul-17,8:00:00,28.171
1,18-Jul-17,8:30:00,28.394
1,18-Jul-17,9:00:00,28.493
1,18-Jul-17,9:30:00,28.419
1,18-Jul-17,10:00:00,28.419
1,18-Jul-17,10:30:00,28.444
1,18-Jul-17,11:00:00,28.543
1,18-Jul-17,11:30:00,28.593
1,18-Jul-17,12:00:00,28.667
1,18-Jul-17,12:30:00,28.717
1,18-Jul-17,13:00:00,28.791
1,18-Jul-17,13:30:00,29.19
1,18-Jul-17,14:00:00,29.365
1,18-Jul-17,14:30:00,29.265
1,18-Jul-17,15:00:00,29.265
1,18-Jul-17,15:30:00,29.29
1,18-Jul-17,16:00:00,29.29
1,18-Jul-17,16:30:00,29.365
1,18-Jul-17,17:00:00,29.34
1,18-Jul-17,17:30:00,29.439
1,18-Jul-17,18:00:00,29.365
1,18-Jul-17,18:30:00,29.315
1,18-Jul-17,19:00:00,29.24
1,18-Jul-17,19:30:00,29.14
1,18-Jul-17,20:00:00,29.165
1,18-Jul-17,20:30:00,29.215
1,18-Jul-17,21:00:00,29.24
1,18-Jul-17,21:30:00,29.215
1,18-Jul-17,22:00:00,29.24
1,18-Jul-17,22:30:00,29.215
1,18-Jul-17,23:00:00,29.215
1,18-Jul-17,23:30:00,29.19
1,19-Jul-17,0:00:00,29.165
1,19-Jul-17,0:30:00,29.14
1,19-Jul-17,1:00:00,29.115
1,19-Jul-17,1:30:00,29.065
1,19-Jul-17,2:00:00,29.04
1,19-Jul-17,2:30:00,29.015
1,19-Jul-17,3:00:00,29.015
1,19-Jul-17,3:30:00,28.99
