"","Fragment.ID","Origin","Treatment","Timepoint","Pnet_umol.cm2.hr","Rdark_umol.cm2.hr","Pgross_umol.cm2.hr"
"1","P-1","Patch","Ambient","T2",0.0581830886417571,-0.494703361797849,0.552886450439606
"2","P-10","Patch","Ambient","T2",0.323137324067609,-0.298619656580845,0.621756980648454
"3","P-11","Patch","Hot","T2",-0.287125204634088,-0.537904682433548,0.25077947779946
"4","P-12","Patch","Hot","T2",0.2125617956803,-0.436751390493435,0.649313186173735
"5","P-13","Patch","Hot","T2",-0.0929067620095099,-0.328091336014373,0.235184574004863
"6","P-14","Patch","Hot","T2",-0.0480459965648657,0.125314556390614,-0.17336055295548
"7","P-15","Patch","Hot","T2",-0.167819643348529,-0.381489616763484,0.213669973414955
"8","P-16","Patch","Hot","T2",0.166845446597136,-0.472535511266674,0.63938095786381
"9","P-17","Patch","Hot","T2",-0.052627821669996,-0.516552377860747,0.463924556190751
"10","P-18","Patch","Hot","T2",0.02218651725601,-0.493887042697162,0.516073559953172
"11","P-19","Patch","Hot","T2",-0.315719261116411,-0.642624131558493,0.326904870442082
"12","P-2","Patch","Ambient","T2",0.453394295234075,-0.429022507486919,0.882416802720994
"13","P-20","Patch","Hot","T2",-0.147383386780569,-0.307823712678537,0.160440325897968
"14","P-3","Patch","Ambient","T2",0.225780949644171,-0.331280928616718,0.557061878260889
"15","P-4","Patch","Ambient","T2",0.284958623154503,-0.599856606451705,0.884815229606208
"16","P-5","Patch","Ambient","T2",0.515524160032173,-0.514575264018414,1.03009942405059
"17","P-6","Patch","Ambient","T2",0.197422239294856,-0.623488555182099,0.820910794476955
"18","P-7","Patch","Ambient","T2",-0.120942043498057,-0.353422762980461,0.232480719482404
"19","P-8","Patch","Ambient","T2",0.536144585265284,-0.475479067432573,1.01162365269786
"20","P-9","Patch","Ambient","T2",0.272114106028651,-0.270047870527672,0.542161976556323
"21","R-1","Rim","Ambient","T2",0.0353138586624959,-0.477863832000278,0.513177690662774
"22","R-10","Rim","Ambient","T2",0.614926444141159,-0.426261151634963,1.04118759577612
"23","R-11","Rim","Hot","T2",-0.244538852587702,-0.394197315425162,0.14965846283746
"24","R-12","Rim","Hot","T2",-0.0633090607653641,-0.364650813231207,0.301341752465843
"25","R-13","Rim","Hot","T2",-0.213594586939414,0.208307219471096,-0.42190180641051
"26","R-14","Rim","Hot","T2",0.489788549179764,-0.810036162565403,1.29982471174517
"27","R-15","Rim","Hot","T2",-0.118589049342798,-0.41895401876341,0.300364969420612
"28","R-16","Rim","Hot","T2",-0.285070886428737,-0.32805872054784,0.042987834119103
"29","R-18","Rim","Hot","T2",-0.257107524417102,-0.444207931098163,0.187100406681061
"30","R-19","Rim","Hot","T2",-0.233430717876765,-0.688981550770382,0.455550832893617
"31","R-2","Rim","Ambient","T2",0.683261793684156,-0.595257258339509,1.27851905202367
"32","R-20","Rim","Hot","T2",0.204152724265904,-0.329355593724056,0.53350831798996
"33","R-3","Rim","Ambient","T2",0.609231060256605,-0.365454424973736,0.974685485230341
"34","R-4","Rim","Ambient","T2",0.602148592072627,-0.454615709938939,1.05676430201157
"35","R-5","Rim","Ambient","T2",0.532424599607171,-0.310333445918763,0.842758045525934
"36","R-6","Rim","Ambient","T2",0.273762867916923,-0.459377513700117,0.73314038161704
"37","R-7","Rim","Ambient","T2",0.441193214445123,-0.371272892354213,0.812466106799336
"38","R-8","Rim","Ambient","T2",0.260657519807552,-0.309080713139054,0.569738232946606
"39","R-9","Rim","Ambient","T2",0.720269519280685,-0.30573552268104,1.02600504196172
