"","Fragment.ID","X.x","Intercept","umol.L.sec","V4","V5","Date","Tank","Position","RUN","Origin","Treatment","Transplant.Site","Timepoint","Height","Surf.Area.cm2","Vol.L","X.y","Type","Weight","Surface_Area","umol.sec","Blank","umol.sec.corr","umol.cm2.hr"
"28","R-14-A",55,230.066702946036,0.00219109249529096,NA,"Photo",20180701,1,NA,NA,"Rim","Hot","Patch","Post-transplant",9.25,NA,18.947584375,23,"Coral",0.695,164.4947106,0.0415159099279548,-0.00359664769099569,0.0451125576189505,0.987297444615958
"29","R-14-B",57,230.440703139307,0.000939004716125514,NA,"Photo",20180701,4,NA,NA,"Rim","Hot","Rim","Post-transplant",9.375,NA,19.2036328125,30,"Coral",0.682,161.4357143,0.0180323017776802,-0.00359664769099569,0.0216289494686759,0.48232337202991
"30","R-15-A",59,225.64651694397,0.00141562099714593,NA,"Photo",20180701,1,NA,NA,"Rim","Hot","Patch","Post-transplant",9.4375,NA,19.33165703125,7,"Coral",0.628,148.7291139,0.0273662996030613,-0.00359664769099569,0.030962947294057,0.74946059541208
"31","R-15-B",61,211.558186390081,0.0014779436811221,NA,"Photo",20180701,10,NA,NA,"Rim","Hot","Rim","Post-transplant",9.375,NA,19.2036328125,33,"Coral",0.454,107.7856241,0.0283818877698234,-0.00359664769099569,0.0319785354608191,1.06807126293708
"32","R-18-A",63,233.054267922418,0.000766589397298909,NA,"Photo",20180701,8,NA,NA,"Rim","Hot","Patch","Post-transplant",9.5625,NA,19.58770546875,32,"Coral",0.373,88.72572358,0.0150157273297576,-0.00359664769099569,0.0186123750207533,0.755187417708652
"33","R-18-B",65,235.419110107871,0.000447830789568566,NA,"Photo",20180701,2,NA,NA,"Rim","Hot","Rim","Post-transplant",9.4375,NA,19.33165703125,38,"Coral",0.411,97.66740528,0.00865731123197341,-0.00359664769099569,0.0122539589229691,0.451678346488461
"34","R-19-A",67,199.030629574797,0.000713611945566176,NA,"Photo",20180701,5,NA,NA,"Rim","Hot","Patch","Post-transplant",9.5,NA,19.45968125,27,"Coral",0.426,101.1970165,0.0138866609969101,-0.00359664769099569,0.0174833086879058,0.621954218150898
"35","R-19-B",69,230.585710374712,0.000942551550615533,NA,"Photo",20180701,7,NA,NA,"Rim","Hot","Rim","Post-transplant",9.5625,NA,19.58770546875,14,"Coral",0.281,67.07744157,0.0184624221625707,-0.00359664769099569,0.0220590698535664,1.18389505643214
"36","R-4-A",71,236.148012573158,0.00157248334229047,NA,"Photo",20180701,8,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.375,NA,19.2036328125,21,"Coral",0.913,215.7917267,0.0301973927091189,-0.00359664769099569,0.0337940404001146,0.563777616968356
"37","R-4-B",73,237.729368515732,0.000505355677154589,NA,"Photo",20180701,2,NA,NA,"Rim","Ambient","Rim","Post-transplant",9.5625,NA,19.58770546875,28,"Coral",0.516,122.3746837,0.0098987581610648,-0.00359664769099569,0.0134954058520605,0.397005815242959
"38","R-5-A",75,204.222935471058,0.00039316352693789,NA,"Photo",20180701,10,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.5,NA,19.45968125,39,"Coral",0.387,92.02002737,0.00765083691333713,-0.00359664769099569,0.0112474846043328,0.440023174659464
"39","R-5-B",77,231.794784026671,0.000142604750256474,NA,"Photo",20180701,2,NA,NA,"Rim","Ambient","Rim","Post-transplant",9.4375,NA,19.33165703125,11,"Coral",0.454,107.7856241,0.00275678612298522,-0.00359664769099569,0.00635343381398091,0.212202340723203
"40","R-7-A",79,232.383686035891,0.00121106015798611,NA,"Photo",20180701,9,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.4375,NA,19.33165703125,34,"Coral",0.816,192.9669076,0.0234117996183989,-0.00359664769099569,0.0270084473093946,0.50387090472201
"41","R-7-B",81,218.26138853267,0.00226294047094623,NA,"Photo",20180701,3,NA,NA,"Rim","Ambient","Rim","Post-transplant",9.4375,NA,19.33165703125,1,"Coral",0.683,161.6710217,0.0437463890664679,-0.00359664769099569,0.0473430367574636,1.05420829617278
"42","R-8-A",83,227.096425031821,-0.000184847844019479,NA,"Photo",20180630,1,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.4,NA,19.2548425,13,"Coral",0.383,91.07879772,-0.00355921612305964,-0.00359664769099569,3.74315679360538e-05,0.00147952814423464
"43","R-8-B",85,228.613515006766,0.00169011990558616,NA,"Photo",20180630,8,NA,NA,"Rim","Ambient","Rim","Post-transplant",9.4375,NA,19.33165703125,37,"Coral",0.535,126.8455245,0.0326728183564803,-0.00359664769099569,0.036269466047476,1.02936290646119
"44","R-9-A",87,251.970929906252,0.00047389333830011,NA,"Photo",20180630,9,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.5,NA,19.45968125,35,"Coral",0.445,105.6678573,0.00922181330981856,-0.00359664769099569,0.0128184610008142,0.436712362510745
"45","R-9-B",89,209.691768887577,0.000941945362934981,NA,"Photo",20180630,5,NA,NA,"Rim","Ambient","Rim","Post-transplant",9.45,NA,19.357261875,18,"Coral",0.375,89.19633841,0.0182334830622743,-0.00359664769099569,0.02183013075327,0.881072834520766
