"","Fragment.ID","Origin","Treatment","Timepoint","Pnet_umol.cm2.hr","Rdark_umol.cm2.hr","Pgross_umol.cm2.hr"
"1","P-10","Patch","Ambient","T1",0.381347160174586,-0.525469869158721,0.906817029333307
"2","P-12","Patch","Ambient","T1",-0.00882669293526326,-0.424880950475598,0.416054257540335
"3","P-18","Patch","Ambient","T1",0.188297673847172,-0.442161565582435,0.630459239429607
"4","P-7","Patch","Ambient","T1",0.0954938849969858,-0.836150553961633,0.931644438958619
"5","P-8","Patch","Ambient","T1",0.0714537900610444,-0.292136491953768,0.363590282014813
"6","R-12","Rim","Ambient","T1",0.271438757446928,-0.65986155818838,0.931300315635309
"7","R-13","Rim","Ambient","T1",0.305025619279669,-0.580466391496951,0.885492010776619
"8","R-16","Rim","Ambient","T1",0.727692439706179,-0.528146189725527,1.25583862943171
"9","R-3","Rim","Ambient","T1",0.515056010874047,-0.503894903224335,1.01895091409838
"10","R-5","Rim","Ambient","T1",0.42150931191866,-0.253491720013086,0.675001031931746
