"","Fragment.ID","X.x","Intercept","umol.L.sec","V4","V5","Date","Tank","Position","RUN","Origin","Treatment","Transplant.Site","Timepoint","Height","Surf.Area.cm2","Vol.L","X.y","Type","Weight","Surface_Area","umol.sec","Blank","umol.sec.corr","umol.cm2.hr"
"6","P-10-A",12,222.035046415129,-0.00156720585807007,NA,"Resp",20180701,3,NA,NA,"Patch","Ambient","Patch","Post-transplant",9.5,NA,19.45968125,12,"Coral",0.654,154.8471067,-0.0304973264511763,-0.00105092603876471,-0.0294464004124116,-0.684591683653859
"7","P-10-B",14,235.536115321472,-0.00100057574936131,NA,"Resp",20180701,7,NA,NA,"Patch","Ambient","Rim","Post-transplant",9.5,NA,19.45968125,9,"Coral",0.368,87.54918652,-0.019470885149051,-0.00105092603876471,-0.0184199591102863,-0.757423974257969
"8","P-12-A",16,226.181805551049,-0.00392149935763405,NA,"Resp",20180701,3,NA,NA,"Patch","Hot","Patch","Post-transplant",9,NA,18.4354875,6,"Coral",1.287,303.7966992,-0.0722947523889206,-0.00105092603876471,-0.0712438263501559,-0.844241479699925
"9","P-12-B",18,237.396854482913,-0.00197575155997069,NA,"Resp",20180701,8,NA,NA,"Patch","Hot","Rim","Post-transplant",9.25,NA,18.947584375,26,"Coral",0.913,215.7917267,-0.0374357193865825,-0.00105092603876471,-0.0363847933478178,-0.606998507566714
"10","P-14-A",20,238.173237768809,-0.0025096197754532,NA,"Resp",20180701,9,NA,NA,"Patch","Hot","Patch","Post-transplant",9.5,NA,19.45968125,4,"Coral",0.884,208.9678117,-0.0488364008890159,-0.00105092603876471,-0.0477854748502511,-0.823225874173731
"11","P-14-B",22,240.958451466877,-0.0020839200629426,NA,"Resp",20180701,2,NA,NA,"Patch","Hot","Rim","Post-transplant",9.4375,NA,19.33165703125,2,"Coral",0.875,206.850045,-0.0402856279373473,-0.00105092603876471,-0.0392347018985826,-0.682837302911378
"12","P-15-A",24,221.760223518629,-0.00287908748566013,NA,"Resp",20180701,6,NA,NA,"Patch","Hot","Patch","Post-transplant",9.3125,NA,19.07560859375,5,"Coral",1.061,250.6172239,-0.0549203459836165,-0.00105092603876471,-0.0538694199448518,-0.773809193093796
"13","P-15-B",26,232.378182262854,-0.0027403599914542,NA,"Resp",20180701,4,NA,NA,"Patch","Hot","Rim","Post-transplant",9.375,NA,19.2036328125,3,"Coral",0.945,223.3215639,-0.0526248670499521,-0.00105092603876471,-0.0515739410111874,-0.831384951806146
"14","P-16-A",28,222.538235373994,-0.00257161057692307,NA,"Resp",20180701,3,NA,NA,"Patch","Hot","Patch","Post-transplant",9.375,NA,19.2036328125,25,"Coral",0.757,179.0837702,-0.0493842652559719,-0.00105092603876471,-0.0483333392172072,-0.971612452583634
"15","P-16-B",30,240.551389541985,-0.00180293012331182,NA,"Resp",20180701,7,NA,NA,"Patch","Hot","Rim","Post-transplant",9.5,NA,19.45968125,36,"Coral",0.434,103.0794758,-0.0350844455156712,-0.00105092603876471,-0.0340335194769065,-1.18860393076294
"16","P-19-A",32,210.853574378348,-0.00293865112849326,NA,"Resp",20180701,10,NA,NA,"Patch","Hot","Patch","Post-transplant",9.25,NA,18.947584375,19,"Coral",1.356,320.0329107,-0.055680340205815,-0.00105092603876471,-0.0546294141670503,-0.614517708729451
"17","P-19-B",34,229.905233560065,-0.001817552745497,NA,"Resp",20180701,1,NA,NA,"Patch","Hot","Rim","Post-transplant",9.3125,NA,19.07560859375,40,"Coral",0.477,113.1976946,-0.0346709247715965,-0.00105092603876471,-0.0336199987328318,-1.06920901406939
"18","P-3-A",36,231.054780443862,-0.00151662195563056,NA,"Resp",20180701,4,NA,NA,"Patch","Ambient","Patch","Post-transplant",9.4375,NA,19.33165703125,24,"Coral",0.652,154.3764919,-0.0293188154923136,-0.00105092603876471,-0.0282678894535489,-0.659196233703094
