"","Fragment.ID","Intercept","umol.L.sec","V4","V5","Date","Tank","Position","RUN","Origin","Treatment","Transplant.Site","Timepoint","Height","Surf.Area.cm2","Vol.L","umol.sec","Blank","umol.sec.corr"
"34","R-19-A",199.030629574797,0.000713611945566176,NA,"Photo",20180701,5,NA,NA,"Rim","Hot","Patch","Post-transplant",9.5,NA,19.45968125,0.0138866609969101,-0.00359664769099569,0.0174833086879058
"35","R-19-B",230.585710374712,0.000942551550615533,NA,"Photo",20180701,7,NA,NA,"Rim","Hot","Rim","Post-transplant",9.5625,NA,19.58770546875,0.0184624221625707,-0.00359664769099569,0.0220590698535664
"36","R-4-A",236.148012573158,0.00157248334229047,NA,"Photo",20180701,8,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.375,NA,19.2036328125,0.0301973927091189,-0.00359664769099569,0.0337940404001146
"37","R-4-B",237.729368515732,0.000505355677154589,NA,"Photo",20180701,2,NA,NA,"Rim","Ambient ","Rim","Post-transplant",9.5625,NA,19.58770546875,0.0098987581610648,-0.00359664769099569,0.0134954058520605
"38","R-5-A",204.222935471058,0.00039316352693789,NA,"Photo",20180701,10,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.5,NA,19.45968125,0.00765083691333713,-0.00359664769099569,0.0112474846043328
"39","R-5-B",231.794784026671,0.000142604750256474,NA,"Photo",20180701,2,NA,NA,"Rim","Ambient ","Rim","Post-transplant",9.4375,NA,19.33165703125,0.00275678612298522,-0.00359664769099569,0.00635343381398091
"40","R-7-A",232.383686035891,0.00121106015798611,NA,"Photo",20180701,9,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.4375,NA,19.33165703125,0.0234117996183989,-0.00359664769099569,0.0270084473093946
"41","R-7-B",218.26138853267,0.00226294047094623,NA,"Photo",20180701,3,NA,NA,"Rim","Ambient ","Rim","Post-transplant",9.4375,NA,19.33165703125,0.0437463890664678,-0.00359664769099569,0.0473430367574635
"42","R-8-A",227.096425031821,-0.000184847844019479,NA,"Photo",20180630,1,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.4,NA,19.2548425,-0.00355921612305963,-0.00359664769099569,3.74315679360611e-05
"43","R-8-B",228.613515006766,0.00169011990558616,NA,"Photo",20180630,8,NA,NA,"Rim","Ambient ","Rim","Post-transplant",9.4375,NA,19.33165703125,0.0326728183564803,-0.00359664769099569,0.036269466047476
"44","R-9-A",251.970929906252,0.00047389333830011,NA,"Photo",20180630,9,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.5,NA,19.45968125,0.00922181330981855,-0.00359664769099569,0.0128184610008142
"45","R-9-B",209.691768887577,0.000941945362934981,NA,"Photo",20180630,5,NA,NA,"Rim","Ambient ","Rim","Post-transplant",9.45,NA,19.357261875,0.0182334830622743,-0.00359664769099569,0.02183013075327
