"","Treatment.x","Origin.x","N","resid.Rdark","sd","se","ci"
"1","Ambient","Patch",5,-0.0457006896816958,0.185383833215958,0.0829061706000733,0.230184431553267
"2","Ambient","Rim",5,0.129805057086633,0.421208791483502,0.188370298095529,0.522999792111981
"3","Hot","Patch",5,-0.0703253997672062,0.277673064164981,0.124179169398712,0.34477664704458
"4","Hot","Rim",5,-0.15767003473236,0.249191865205749,0.111441990008004,0.309412567671223
