"","Origin","Treatment","resid.L.Zoox"
"1","Patch","Ambient",-0.224151234567902
"2","Patch","Hot",2.57363636363636
"3","Rim","Ambient",-3.61481481481482
"4","Rim","Hot",4.62678571428571
