 Origin Transplant.Site lsmean     SE  df lower.CL upper.CL .group
 Patch  Patch             1.81 0.0675 229     1.68     1.94  a    
 Rim    Patch             1.88 0.1000 229     1.69     2.08  a    
 Patch  Rim               2.05 0.1550 229     1.75     2.36  ab   
 Rim    Rim               2.39 0.1342 229     2.13     2.66   b   

Results are averaged over the levels of: Treatment.y 
Confidence level used: 0.95 
P value adjustment: tukey method for comparing a family of 4 estimates 
significance level used: alpha = 0.05 
