"","Vial","Date","Run","Well","Sample.Type","Concentration","abs","DL1","ConcentrationS","Conc.calcS"
"90",110,20181121,2,"G6","Sample",NA,0.3,4,194.553159845053,38.9106319690106
"91",112,20181121,2,"G7","Sample",NA,0.195,4,72.9724528495999,14.59449056992
"92",112,20181121,2,"G8","Sample",NA,0.21,4,90.3411252775217,18.0682250555043
"93",112,20181121,2,"G9","Sample",NA,0.208,4,88.0253022871321,17.6050604574264
"94",113,20181121,2,"G10","Sample",NA,0.245,4,130.868027609339,26.1736055218679
"95",113,20181121,2,"G11","Sample",NA,0.266,4,155.18416900843,31.036833801686
"96",113,20181121,2,"G12","Sample",NA,0.267,4,156.342080503625,31.2684161007249
"97",115,20181121,2,"H1","Sample",NA,0.287,4,179.50031040752,35.9000620815041
"98",115,20181121,2,"H2","Sample",NA,0.294,4,187.605690873884,37.5211381747768
"99",115,20181121,2,"H3","Sample",NA,0.304,4,199.184805825832,39.8369611651664
"100",116,20181121,2,"H4","Sample",NA,0.283,4,174.868664426741,34.9737328853483
"101",116,20181121,2,"H5","Sample",NA,0.274,4,164.447460969988,32.8894921939977
"102",116,20181121,2,"H6","Sample",NA,0.309,4,204.974363301806,40.9948726603612
"103",118,20181121,2,"H7","Sample",NA,0.224,4,106.551886210249,21.3103772420497
"104",118,20181121,2,"H8","Sample",NA,0.191,4,68.3408068688207,13.6681613737641
"105",118,20181121,2,"H9","Sample",NA,0.193,4,70.6566298592103,14.1313259718421
"106",119,20181121,2,"H10","Sample",NA,0.247,4,133.183850599729,26.6367701199458
"107",119,20181121,2,"H11","Sample",NA,0.25,4,136.657585085313,27.3315170170627
"108",119,20181121,2,"H12","Sample",NA,0.259,4,147.078788542066,29.4157577084133
"109",121,20181121,3,"C4","Sample",NA,0.199,4,77.604098830379,15.5208197660758
"110",121,20181121,3,"C5","Sample",NA,0.211,4,91.4990367727165,18.2998073545433
"111",121,20181121,3,"C6","Sample",NA,0.213,4,93.8148597631061,18.7629719526212
"112",122,20181121,3,"C7","Sample",NA,0.194,4,71.8145413544051,14.362908270881
"113",122,20181121,3,"C8","Sample",NA,0.2,4,78.7620103255738,15.7524020651148
"114",122,20181121,3,"C9","Sample",NA,0.201,4,79.9199218207686,15.9839843641537
"115",127,20181121,3,"C10","Sample",NA,0.156,4,27.8139045370031,5.56278090740062
"116",127,20181121,3,"C11","Sample",NA,0.159,4,31.2876390225875,6.25752780451749
"117",127,20181121,3,"C12","Sample",NA,0.159,4,31.2876390225875,6.25752780451749
"118",128,20181121,3,"D1","Sample",NA,0.242,4,127.394293123755,25.478858624751
"119",128,20181121,3,"D2","Sample",NA,0.255,4,142.447142561287,28.4894285122574
"120",128,20181121,3,"D3","Sample",NA,0.239,4,123.920558638171,24.7841117276341
"121",130,20181121,3,"D4","Sample",NA,0.416,4,328.870893287648,65.7741786575297
"122",130,20181121,3,"D5","Sample",NA,0.448,4,365.924061133882,73.1848122267763
"123",130,20181121,3,"D6","Sample",NA,0.442,4,358.976592162713,71.7953184325426
"124",131,20181121,3,"D7","Sample",NA,0.401,4,311.502220859727,62.3004441719453
"125",131,20181121,3,"D8","Sample",NA,0.428,4,342.765831229986,68.5531662459972
