Vial,Date,Run,Well,Sample.Type,Concentration
NA,20190123,3,B2,Standard,500
NA,20190123,3,B3,Standard,500
NA,20190123,3,B4,Standard,250
NA,20190123,3,B5,Standard,250
NA,20190123,3,B6,Standard,250
NA,20190123,3,B7,Standard,125
NA,20190123,3,B8,Standard,125
NA,20190123,3,B9,Standard,125
NA,20190123,3,B10,Standard,25
NA,20190123,3,B11,Standard,25
NA,20190123,3,B12,Standard,25
NA,20190123,3,C1,Blank,0
NA,20190123,3,C2,Blank,0
NA,20190123,3,C3,Blank,0
167,20190123,3,C4,Sample,
167,20190123,3,C5,Sample,
167,20190123,3,C6,Sample,
168,20190123,3,C7,Sample,
168,20190123,3,C8,Sample,
168,20190123,3,C9,Sample,
175,20190123,3,C10,Sample,
175,20190123,3,C11,Sample,
175,20190123,3,C12,Sample,
176,20190123,3,D1,Sample,
176,20190123,3,D2,Sample,
176,20190123,3,D3,Sample,
177,20190123,3,D4,Sample,
177,20190123,3,D5,Sample,
177,20190123,3,D6,Sample,
184,20190123,3,D7,Sample,
184,20190123,3,D8,Sample,
184,20190123,3,D9,Sample,
185,20190123,3,D10,Sample,
185,20190123,3,D11,Sample,
185,20190123,3,D12,Sample,
186,20190123,3,E1,Sample,
186,20190123,3,E2,Sample,
186,20190123,3,E3,Sample,
193,20190123,3,E4,Sample,
193,20190123,3,E5,Sample,
193,20190123,3,E6,Sample,
194,20190123,3,E7,Sample,
194,20190123,3,E8,Sample,
194,20190123,3,E9,Sample,
195,20190123,3,E10,Sample,
195,20190123,3,E11,Sample,
195,20190123,3,E12,Sample,
202,20190123,3,F1,Sample,
202,20190123,3,F2,Sample,
202,20190123,3,F3,Sample,
203,20190123,3,F4,Sample,
203,20190123,3,F5,Sample,
203,20190123,3,F6,Sample,
204,20190123,3,F7,Sample,
204,20190123,3,F8,Sample,
204,20190123,3,F9,Sample,
211,20190123,3,F10,Sample,
211,20190123,3,F11,Sample,
211,20190123,3,F12,Sample,
212,20190123,3,G1,Sample,
212,20190123,3,G2,Sample,
212,20190123,3,G3,Sample,
213,20190123,3,G4,Sample,
213,20190123,3,G5,Sample,
213,20190123,3,G6,Sample,
220,20190123,3,G7,Sample,
220,20190123,3,G8,Sample,
220,20190123,3,G9,Sample,
221,20190123,3,G10,Sample,
221,20190123,3,G11,Sample,
