"","coral.lunardate","date.x","lunar.day.x","Vial","coral.id.x","Cells.larvae","treatment","reef.zone","treat.zone","coral.id.y","date.y","lunar.day.y","total.plan","total.plan.sa"
"36","P17 -10",20170713,-10,25,"P17",9965.27777777778,"Hot","Patch","Patch_HOT","P17","13-Jul",-10,904,3.640035792
"37","P17 -8",20170715,-8,148,"P17",8979.16666666667,"Hot","Patch","Patch_HOT","P17","15-Jul",-8,587,2.363607312
"38","P17 -8",20170715,-8,149,"P17",8256.94444444444,"Hot","Patch","Patch_HOT","P17","15-Jul",-8,587,2.363607312
"39","P17 -9",20170714,-9,115,"P17",10347.2222222222,"Hot","Patch","Patch_HOT","P17","14-Jul",-9,1584,6.378115812
"40","P17 -9",20170714,-9,116,"P17",10430.5555555556,"Hot","Patch","Patch_HOT","P17","14-Jul",-9,1584,6.378115812
"41","P18 -9",20170714,-9,118,"P18",4520.83333333333,"Hot","Patch","Patch_HOT","P18","14-Jul",-9,940,2.629545757
"42","P18 -9",20170714,-9,119,"P18",5625,"Hot","Patch","Patch_HOT","P18","14-Jul",-9,940,2.629545757
"43","P19 -10",20170713,-10,59,"P19",5354.16666666667,"Hot","Patch","Patch_HOT","P19","13-Jul",-10,2053,4.697940503
"44","P19 -10",20170713,-10,28,"P19",9180.55555555556,"Hot","Patch","Patch_HOT","P19","13-Jul",-10,2053,4.697940503
"45","P19 -8",20170715,-8,151,"P19",2166.66666666667,"Hot","Patch","Patch_HOT","P19","15-Jul",-8,500,1.14416476
"46","P19 -8",20170715,-8,152,"P19",6111.11111111111,"Hot","Patch","Patch_HOT","P19","15-Jul",-8,500,1.14416476
"47","P19 -9",20170714,-9,121,"P19",1986.11111111111,"Hot","Patch","Patch_HOT","P19","14-Jul",-9,680,1.556064073
"48","P19 -9",20170714,-9,122,"P19",2562.5,"Hot","Patch","Patch_HOT","P19","14-Jul",-9,680,1.556064073
"49","P2 -10",20170713,-10,35,"P2",9201.38888888889,"Ambient","Patch","Patch_AMB","P2","13-Jul",-10,278,0.670623373
"50","P2 -10",20170713,-10,34,"P2",12284.7222222222,"Ambient","Patch","Patch_AMB","P2","13-Jul",-10,278,0.670623373
"51","P2 -6",20170717,-6,193,"P2",4395.83333333333,"Ambient","Patch","Patch_AMB","P2","17-Jul",-6,252,0.607903201
"52","P2 -6",20170717,-6,194,"P2",3916.66666666667,"Ambient","Patch","Patch_AMB","P2","17-Jul",-6,252,0.607903201
"53","P2 -8",20170715,-8,133,"P2",6236.11111111111,"Ambient","Patch","Patch_AMB","P2","15-Jul",-8,446,1.075892173
