Well,562
A1,2.369
B1,0.821
C1,0.078
D1,1.184
E1,1.27
F1,0.7
G1,0.936
H1,1.351
A2,2.166
B2,0.802
C2,0.077
D2,1.233
E2,1.252
F2,0.845
G2,1.002
H2,1.442
A3,2.212
B3,0.788
C3,0.077
D3,1.377
E3,1.557
F3,0.843
G3,0.995
H3,1.419
A4,1.664
B4,0.441
C4,1.01
D4,1.333
E4,1.341
F4,1.047
G4,0.866
H4,1.241
A5,1.666
B5,0.475
C5,1.125
D5,1.285
E5,1.574
F5,1.189
G5,1.074
H5,1.346
A6,1.773
B6,0.447
C6,1.139
D6,1.316
E6,1.466
F6,1.254
G6,0.918
H6,1.309
A7,1.259
B7,0.286
C7,1.066
D7,1.156
E7,0.781
F7,0.981
G7,0.863
H7,0.804
A8,1.292
B8,0.313
C8,1.061
D8,1.341
E8,0.822
F8,1.273
G8,0.958
H8,0.971
A9,1.306
B9,0.275
C9,1.112
D9,1.412
E9,0.934
F9,1.246
G9,0.942
H9,0.927
A10,1.211
B10,0.118
C10,0.974
D10,1.34
E10,1.118
F10,1.106
G10,1.434
H10,0.842
A11,1.196
B11,0.121
C11,1.06
D11,1.562
E11,0.699
F11,0.99
G11,1.33
H11,0.854
A12,1.28
B12,0.116
C12,1.159
D12,1.503
E12,0.762
F12,1.111
G12,1.562
H12,0.858
