"","Origin","Treatment","Timepoint","Pnet.mean","N","Pnet.se","Rdark.mean","Rdark.se","Pgross.mean","Pgross.se"
"1","Patch","Ambient","T2",0.274571732786502,10,0.0643356009685321,-0.439049658107525,0.0390631870812439,0.713621390894028,0.080135598934896
"2","Patch","Hot","T2",-0.0710034316590523,10,0.0546516128360865,-0.399234524537584,0.0664040620526338,0.328231092878532,0.0789610167180616
"3","Rim","Ambient","T2",0.47731894698745,10,0.0700352258063358,-0.407525246468061,0.0294450402747646,0.884844193455511,0.0748650010018652
"4","Rim","Hot","T2",-0.0801888227680238,9,0.0873253669477199,-0.396681654072725,0.093937151992442,0.316492831304701,0.153589994882686
