Date of Patch_HOToto,Date.Release,lunar.day,Colony,Timepoint,Treatment.1,Treatment.2,treat.zone,Treat.zone.2,Reef,Larval_No,Length_1,Width_1,Volume_1,Length_2,Width_2,Shape_class
20170714,20170714,-9,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,5,0.7,0.672,0.181992347,0.7,0.672,Circular
20170714,20170714,-9,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,6,0.879,0.689,0.301671785,0.879,0.689,Circular
20170714,20170714,-9,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,7,0.66,0.525,0.098747243,0.66,0.525,Circular
20170714,20170714,-9,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,8,0.77,0.714,0.24859728,0.77,0.714,Circular
20170714,20170714,-9,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,9,0.755,0.735,0.253271942,0.755,0.735,Circular
20170714,20170714,-9,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,10,0.673,0.657,0.160797528,0.673,0.657,Circular
20170714,20170714,-9,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.975,0.876,0.599978853,0.975,0.876,Circular
20170714,20170714,-9,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,0.801,0.816,0.351369329,0.801,0.816,Circular
20170714,20170714,-9,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,3,0.84,0.888,0.457617899,0.888,0.84,Circular
20170714,20170714,-9,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,4,0.744,0.753,0.258139416,0.753,0.744,Circular
20170714,20170714,-9,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,5,0.644,0.886,0.267767385,0.886,0.644,Circular
20170714,20170714,-9,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,6,0.801,0.817,0.352231056,0.817,0.801,Circular
20170714,20170714,-9,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,7,0.87,0.706,0.310289019,0.87,0.706,Circular
20170714,20170714,-9,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,8,0.707,0.657,0.177454929,0.707,0.657,Circular
20170714,20170714,-9,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,9,0.753,0.745,0.258833805,0.753,0.745,Circular
20170714,20170714,-9,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,10,0.694,0.74,0.216920641,0.74,0.694,Circular
20170714,20170714,-9,P4,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.758,0.499,0.1176679,0.758,0.499,Circular
20170714,20170714,-9,P4,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,0.825,0.555,0.172429815,0.825,0.555,Circular
20170714,20170714,-9,P4,T1,Ambient,N/A,Patch_AMB,N/A,Patch,3,0.722,0.663,0.188460332,0.722,0.663,Circular
20170714,20170714,-9,P4,T1,Ambient,N/A,Patch_AMB,N/A,Patch,4,0.898,0.589,0.230092129,0.898,0.589,Circular
20170714,20170714,-9,P4,T1,Ambient,N/A,Patch_AMB,N/A,Patch,5,0.791,0.603,0.187113917,0.791,0.603,Circular
20170714,20170714,-9,P4,T1,Ambient,N/A,Patch_AMB,N/A,Patch,6,0.736,0.446,0.088622469,0.736,0.446,Circular
20170714,20170714,-9,P4,T1,Ambient,N/A,Patch_AMB,N/A,Patch,7,0.741,0.853,0.328588967,0.853,0.741,Circular
20170714,20170714,-9,P4,T1,Ambient,N/A,Patch_AMB,N/A,Patch,8,0.891,0.843,0.464011834,0.891,0.843,Circular
20170714,20170714,-9,P4,T1,Ambient,N/A,Patch_AMB,N/A,Patch,9,0.645,0.891,0.271639759,0.891,0.645,Circular
20170714,20170714,-9,P4,T1,Ambient,N/A,Patch_AMB,N/A,Patch,10,0.747,0.754,0.260917011,0.754,0.747,Circular
20170714,20170714,-9,P7,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.827,0.704,0.278788488,0.827,0.704,Circular
20170714,20170714,-9,P7,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,0.844,0.875,0.448558921,0.875,0.844,Circular
20170714,20170714,-9,P7,T1,Ambient,N/A,Patch_AMB,N/A,Patch,3,0.399,0.4,0.020950012,0.399,0.4,Circular
20170714,20170714,-9,P7,T1,Ambient,N/A,Patch_AMB,N/A,Patch,4,0.733,0.734,0.238077618,0.734,0.733,Circular
20170714,20170714,-9,P7,T1,Ambient,N/A,Patch_AMB,N/A,Patch,5,0.641,0.492,0.081802159,0.641,0.492,Circular
20170714,20170714,-9,P7,T1,Ambient,N/A,Patch_AMB,N/A,Patch,6,0.969,0.567,0.248274532,0.969,0.567,Pear
20170714,20170714,-9,P7,T1,Ambient,N/A,Patch_AMB,N/A,Patch,7,0.702,0.642,0.16705627,0.702,0.642,Circular
20170714,20170714,-9,P7,T1,Ambient,N/A,Patch_AMB,N/A,Patch,8,0.713,0.704,0.207225348,0.713,0.704,Circular
20170714,20170714,-9,P7,T1,Ambient,N/A,Patch_AMB,N/A,Patch,9,0.595,0.604,0.106224894,0.604,0.595,Circular
20170714,20170714,-9,P7,T1,Ambient,N/A,Patch_AMB,N/A,Patch,10,0.889,0.768,0.383393249,0.889,0.768,Circular
20170715,20170715,-8,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.867,0.859,0.456187123,0.867,0.859,Circular
20170715,20170715,-8,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,0.825,0.803,0.360958678,0.825,0.803,Circular
20170715,20170715,-8,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,3,0.831,0.789,0.353569304,0.831,0.789,Circular
20170715,20170715,-8,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,4,0.807,0.927,0.460283108,0.927,0.807,Circular
20170715,20170715,-8,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,5,0.768,0.734,0.261356352,0.768,0.734,Circular
20170715,20170715,-8,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,6,0.765,0.694,0.231825022,0.765,0.694,Circular
20170715,20170715,-8,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,7,0.758,0.623,0.18341422,0.758,0.623,Circular
20170715,20170715,-8,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,8,0.604,0.773,0.179288059,0.773,0.604,Circular
20170715,20170715,-8,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,9,0.778,0.962,0.46071021,0.962,0.778,Circular
20170715,20170715,-8,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,10,0.887,0.879,0.499969474,0.887,0.879,Circular
20170715,20170715,-8,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.741,0.609,0.167490238,0.741,0.609,Circular
20170715,20170715,-8,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,0.645,1.021,0.356688751,1.021,0.645,Circular
20170715,20170715,-8,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,3,0.67,0.598,0.132029346,0.67,0.598,Circular
20170715,20170715,-8,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,4,0.706,0.702,0.202023609,0.706,0.702,Circular
20170715,20170715,-8,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,5,0.836,0.724,0.301306282,0.836,0.724,Circular
20170715,20170715,-8,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,6,0.748,0.59,0.160186428,0.748,0.59,Circular
20170715,20170715,-8,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,7,0.952,0.826,0.508572052,0.952,0.826,Circular
20170715,20170715,-8,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,8,0.847,0.75,0.331900454,0.847,0.75,Circular
20170715,20170715,-8,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,9,0.756,0.416,0.081348351,0.756,0.416,Circular
20170715,20170715,-8,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,10,0.679,0.574,0.124934342,0.679,0.574,Circular
20170715,20170715,-8,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.631,0.627,0.128739643,0.631,0.627,Circular
20170715,20170715,-8,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,0.756,0.706,0.23429957,0.756,0.706,Circular
20170715,20170715,-8,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,3,0.895,0.66,0.286980535,0.895,0.66,Circular
20170715,20170715,-8,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,4,0.731,0.737,0.238719683,0.737,0.731,Circular
20170715,20170715,-8,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,5,0.615,0.577,0.103566752,0.615,0.577,Circular
20170715,20170715,-8,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,6,0.637,0.664,0.147140939,0.664,0.637,Circular
20170715,20170715,-8,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,7,0.63,0.671,0.146975396,0.671,0.63,Circular
20170715,20170715,-8,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,8,0.589,0.649,0.120181739,0.649,0.589,Circular
20170715,20170715,-8,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,9,0.634,0.691,0.157853098,0.691,0.634,Circular
20170715,20170715,-8,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,10,0.794,0.894,0.414414118,0.894,0.794,Circular
20170715,20170715,-8,P5,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.862,0.931,0.529702952,0.931,0.862,Circular
