Length,Width,Surface.Area.cm2,Mass.g
0.5,0.5,0.25,0.0009
1,1,1,0.0041
1.5,1.5,2.25,0.0096
2,2,4,0.0173
2.5,2.5,6.25,0.0267
3,3,9,0.0394
3.5,3.5,12.25,0.0557
4,4,16,0.0731
4.5,4.5,20.25,0.0919
5,5,25,0.1116
