Date,coral.id,Replicate,TUB_ID,Plug_1_num,Plug_2_num,Total_Larvae_in,Settlement_check_date,Tank,Treatment,Type,Sett_P1_TOT,Sett_P2_TOT,Sett_P1_TOP,Sett_P2_TOP
20180710,P-12-A,10,SET #55,506,467,50,20180713,8,AMBIENT,TREATMENT,9,5,3,1
20180710,P-12-A,11,SET #56,535,470,50,20180713,3,HOT,TREATMENT,1,5,0,2
20180710,P-12-A,12,SET #57,489,502,50,20180713,3,HOT,TREATMENT,4,0,1,0
20180710,P-16-A,1,SET #58,822,784,45,20180713,1,HOT,TREATMENT,12,3,6,2
20180710,P-16-A,2,SET #59,621,665,45,20180713,1,HOT,TREATMENT,1,2,0,0
20180710,P-16-A,3,SET #60,668,585,45,20180713,2,HOT,TREATMENT,2,6,2,6
20180710,P-16-A,4,SET #61,797,695,45,20180713,2,HOT,TREATMENT,7,1,1,1
20180710,P-16-A,5,SET #62,566,817,45,20180713,4,HOT,TREATMENT,0,5,0,3
20180710,P-16-A,6,SET #63,642,797,45,20180713,4,HOT,TREATMENT,2,2,0,2
20180710,P-16-A,7,SET #64,855,789,45,20180713,5,AMBIENT,TREATMENT,21,5,16,0
20180710,P-16-A,8,SET #65,876,661,45,20180713,5,AMBIENT,TREATMENT,6,1,1,1
20180710,P-16-A,9,SET #66,660,596,45,20180713,6,AMBIENT,TREATMENT,5,6,1,2
20180710,P-16-A,10,SET #67,787,607,45,20180713,6,AMBIENT,TREATMENT,0,5,0,4
20180710,P-16-A,11,SET #68,777,584,45,20180713,8,AMBIENT,TREATMENT,8,5,6,3
20180710,P-16-A,12,SET #69,848,814,45,20180713,8,AMBIENT,TREATMENT,1,19,1,0
20180710,P-10-A,1,SET #70,977,647,92,20180713,Corral,AMBIENT,EXTRA,0,63,0,53
20180710,P-14-A,1,SET #71,758,967,72,20180713,Corral,AMBIENT,EXTRA,0,8,0,0
20180710,P-14-B,1,SET #72,1034,1005,56,20180713,Corral,AMBIENT,EXTRA,0,7,0,6
20180710,P-12-A,1,SET #73,947,705,100,20180713,Corral,AMBIENT,EXTRA,0,18,0,6
20180710,P-12-A,2,SET #74,966,985,46,20180713,Corral,AMBIENT,EXTRA,0,7,0,4
20180710,P-15-B,1,SET #75,731,1010,100,20180713,Corral,AMBIENT,EXTRA,5,0,4,0
20180710,P-15-B,12,SET #76,712,1015,44,20180713,Corral,AMBIENT,EXTRA,7,10,4,3
20180710,P-19-B,1,SET #77,735,732,69,20180713,Corral,AMBIENT,EXTRA,4,1,3,0
20180710,P-4-A,1,SET #78,463,474,54,20180713,Corral,AMBIENT,EXTRA,1,6,1,5
20180710,R-7-B,1,SET #79,481,484,52,20180713,Corral,AMBIENT,EXTRA,16,3,12,7
20180711,P-19-A,1,SET #80,593,496,50,20180714,13,HOT,TREATMENT,3,3,0,0
20180711,P-19-A,2,SET #81,554,622,50,20180714,13,HOT,TREATMENT,3,2,0,0
20180711,P-19-A,3,SET #82,609,551,50,20180714,9,HOT,TREATMENT,1,9,0,4
20180711,P-19-A,4,SET #83,532,638,50,20180714,9,HOT,TREATMENT,3,2,0,0
20180711,P-19-A,5,SET #84,631,611,50,20180714,10,HOT,TREATMENT,2,1,1,0
20180711,P-19-A,6,SET #85,590,629,50,20180714,10,HOT,TREATMENT,3,6,2,0
20180711,P-19-A,7,SET #86,616,579,50,20180714,8,AMBIENT,TREATMENT,6,7,2,1
20180711,P-19-A,8,SET #87,618,573,50,20180714,8,AMBIENT,TREATMENT,6,6,0,2
20180711,P-19-A,9,SET #88,640,613,50,20180714,6,AMBIENT,TREATMENT,3,6,3,0
20180711,P-19-A,10,SET #89,581,561,50,20180714,8,AMBIENT,TREATMENT,13,18,5,14
20180711,P-19-A,11,SET #90,627,667,50,20180714,6,AMBIENT,TREATMENT,3,2,0,1
20180711,P-19-A,12,SET #91,497,634,50,20180714,8,AMBIENT,TREATMENT,20,8,10,4
20180711,P-16-A,1,SET #92,742,983,100,20180714,Corral,AMBIENT,EXTRA,0,0,0,0
20180711,P-16-A,2,SET #93,727,968,100,20180714,Corral,AMBIENT,EXTRA,0,9,0,7
20180711,P-16-A,3,SET #94,964,559,100,20180714,Corral,AMBIENT,EXTRA,1,11,0,6
20180711,P-16-A,4,SET #95,895,944,100,20180714,Corral,AMBIENT,EXTRA,1,0,0,0
20180711,P-16-A,5,SET #96,905,707,100,20180714,Corral,AMBIENT,EXTRA,13,7,2,3
20180711,P-12-A,1,SET #97,961,728,100,20180714,Corral,AMBIENT,EXTRA,21,10,5,0
20180711,P-12-A,2,SET #98,729,958,100,20180714,Corral,AMBIENT,EXTRA,8,0,0,0
20180711,P-19-A,1,SET #99,725,898,100,20180714,Corral,AMBIENT,EXTRA,2,8,2,4
20180711,P-19-A,2,SET #100,957,903,100,20180714,Corral,AMBIENT,EXTRA,10,3,0,0
20180711,P-12-B,1,SET #101,902,906,100,20180714,Corral,AMBIENT,EXTRA,1,0,1,0
20180711,P-12-B,2,SET #102,971,708,65,20180714,Corral,AMBIENT,EXTRA,0,0,0,0
20180711,P-14-B,1,SET #103,730,904,100,20180714,Corral,AMBIENT,EXTRA,21,27,14,17
20180711,P-14-B,2,SET #104,1002,710,100,20180714,Corral,AMBIENT,EXTRA,22,14,13,6
20180711,R-14-B,1,SET #105,900,946,100,20180714,Corral,AMBIENT,EXTRA,41,9,34,8
