Tank,0,1,2,3,4,5,6,7,8
1,0,32,60,100,151,290,470,600,800
2,0,35,58,102,155,289,471,602,811
10,0,32,60,108,150,287,477,605,801
9,0,30,57,109,143,270,468,590,791
3,0,39,61,111,162,301,482,613,815
,0,33.6,59.2,106,152.2,287.4,473.6,602,803.6
